appTitle,userName,date,score,text,fileDate,appCategory,UID,contentRating,processed_text,word_length_processed,date2,date_year,date_month,Sentiment,Constructive_Score
,Alexander Laurin,2018-09-19 00:00:00,5,Excellent app. I've lost 10lbs since using it. I am only using the free addition. I'm very grateful.,2019-05-01,HEALTH AND FITNESS,2019-05-01_HEALTH_AND_FITNESS_4397,,Excellent I lost using it I am using the free I very grateful,13,2018-09-19 00:00:00,2018,9,5,0
Lose Belly Fat in 30 Days - Flat Stomach,,2019-02-22 00:00:00,5,it's rlly good I have lost half my weight in just 2 days ( with morning stretches ) and it talks you through it . also it gives you tips . definitely a must,2019-03-24,HEALTH AND FITNESS,2019-03-24_HEALTH_AND_FITNESS_8396,Everyone,it good I have lost half my weight in just days with morning stretches and it talks you through it also it gives you tips a must,27,2019-02-22 00:00:00,2019,2,5,8
,Nehal Youssef,2019-02-24 00:00:00,5,So cool and organised,2019-05-01,HEALTH AND FITNESS,2019-05-01_HEALTH_AND_FITNESS_15059,,So cool and,3,2019-02-24 00:00:00,2019,2,4,0
Drink Water Reminder: Water Tracker & Alarm,Nazmul Babu,2019-03-22 00:00:00,5,i love it,2019-03-24,HEALTH AND FITNESS,2019-03-24_HEALTH_AND_FITNESS_4079,Everyone,i love it,3,2019-03-22 00:00:00,2019,3,5,0
Lose Belly Fat in 30 Days - Flat Stomach,Ana Garcia,2019-04-09 00:00:00,5,"so helpful! I barely got it and it's amazing, it's full of tips for a better work out!",2019-05-09,HEALTH AND FITNESS,2019-05-09_HEALTH_AND_FITNESS_33815,Everyone,so helpful I barely got it and it it full of tips for a better work out,17,2019-04-09 00:00:00,2019,4,5,4
Calorie Counter - MyFitnessPal,A Google User,2019-05-04 00:00:00,4,My fitness pal is great for tracking everything you put in your mouth. It's helped me stay accountable for what I'm putting in my body. I've also made many friends that are trying to get and stay healthy as well. So far I've lost 34 lbs 😀,2019-05-09,HEALTH AND FITNESS,2019-05-09_HEALTH_AND_FITNESS_1957,Everyone,My fitness pal is great for tracking you put in your mouth It helped me stay accountable for what I putting in my I also made many friends that are trying to get and stay as well So far I lost,41,2019-05-04 00:00:00,2019,5,5,6
"Calm - Meditate, Sleep, Relax",sue vogt,2019-04-16 00:00:00,4,i love calm. the meditations and bedtime stories especially. The only reason I didn't give it five stars is that my 30 day guest pass was unusable and after I paid the $59.95 it apparently lost my membership as everytime I try to open it I'm asked to upgrade and pay again. Hopefully these bugs will soon be corrected and I will gladly rate it a 5 star.,2019-05-09,HEALTH AND FITNESS,2019-05-09_HEALTH_AND_FITNESS_12402,Everyone,i love calm the and The reason I did give it five stars is that my day guest pass was and after I the it lost my membership as I try to open it I asked to and pay again Hopefully these bugs will soon be corrected and I will rate it a star,54,2019-04-16 00:00:00,2019,4,4,9
Samsung Health,Fahmur Razaq,2019-03-27 00:00:00,4,step still count when im in motorcycle. hope u can solve this problem. maybe add pause button in homescreen widget can help. honestly so hard find your pause step,2019-04-01,HEALTH AND FITNESS,2019-04-01_HEALTH_AND_FITNESS_3518,Everyone,step still count when in hope u can problem add button in can help so hard find your step,19,2019-03-27 00:00:00,2019,3,3,8
,A Google User,2019-01-08 00:00:00,4,"I enjoy feeling self-centered and calm. Great app, although it would be nice if you made more free coures. Then I will give you 5 stars. Other than that; this is an amazing app!",2019-05-01,HEALTH AND FITNESS,2019-05-01_HEALTH_AND_FITNESS_39187,,I enjoy feeling and calm Great although it would be nice if you made more free Then I will give you stars Other than that is an,27,2019-01-08 00:00:00,2019,1,4,4
Fitbit,Suzanne Cole,2019-03-08 00:00:00,4,Good so far,2019-03-24,HEALTH AND FITNESS,2019-03-24_HEALTH_AND_FITNESS_19520,Everyone,Good so far,3,2019-03-08 00:00:00,2019,3,3,0
,Charlie McClelland,2019-03-24 00:00:00,2,great when it works.,2019-05-01,HEALTH AND FITNESS,2019-05-01_HEALTH_AND_FITNESS_30959,,great when it works,4,2019-03-24 00:00:00,2019,3,3,0
"Calm - Meditate, Sleep, Relax",Aidan Doyle,2019-03-23 00:00:00,2,"Its not free, and is quite expensive for the yearly option.",2019-04-01,HEALTH AND FITNESS,2019-04-01_HEALTH_AND_FITNESS_43600,Everyone,Its not free and is quite for the option,9,2019-03-23 00:00:00,2019,3,0,0
,JoleneC,2019-04-15 00:00:00,2,I have recently purchased a Samsung watch active. The Samsung Healthy app do not have an option for me to view steps count data from my watch.,2019-05-01,HEALTH AND FITNESS,2019-05-01_HEALTH_AND_FITNESS_37541,,I have recently a watch The do not have an option for me to view steps count data from my watch,21,2019-04-15 00:00:00,2019,4,-2,10
,Call Me AL,2019-01-03 00:00:00,2,The sleep casts were awesome when I needed them. Now I have to subscribe in order to gain access to the sleepcasts. I will be deleting this app because I shouldn't have to subscribe just to be able to get some sleep.,2019-05-01,HEALTH AND FITNESS,2019-05-01_HEALTH_AND_FITNESS_5702,,The sleep casts were when I needed them Now I have to in order to gain access to the I will be I should have to just to be to get some sleep,33,2019-01-03 00:00:00,2019,1,-2,0
,Glodanil Tolentino,2019-04-17 00:00:00,2,how can i redeem my points?can i make cash out via paypal?i want to redeem the MAM watch. but i have to pay 9 USD. i thought its free delivery..,2019-05-01,HEALTH AND FITNESS,2019-05-01_HEALTH_AND_FITNESS_14478,,how can i redeem my points can i make cash out via i want to redeem the watch but i have to pay i thought its free,27,2019-04-17 00:00:00,2019,4,0,0
Fitbit,,2019-03-03 00:00:00,1,hp cant sync with my adidas ionic!,2019-03-16,HEALTH AND FITNESS,2019-03-16_HEALTH_AND_FITNESS_7796,Everyone,cant sync with my ionic,5,2019-03-03 00:00:00,2019,3,-3,4
Drink Water Reminder: Water Tracker & Alarm,aschalew ethio tube,2019-04-14 00:00:00,1,well done love it,2019-04-14,HEALTH AND FITNESS,2019-04-14_HEALTH_AND_FITNESS_23776,Everyone,well done love it,4,2019-04-14 00:00:00,2019,4,5,0
Sweatcoin Pays You To Get Fit,SesameSeedSimmer,2019-01-05 00:00:00,1,I never got the verification code.,2019-03-24,HEALTH AND FITNESS,2019-03-24_HEALTH_AND_FITNESS_18785,Everyone,I never got the code,5,2019-01-05 00:00:00,2019,1,0,4
Calorie Counter - MyFitnessPal,Christian Ward,2019-03-09 00:00:00,1,Something has gone badly wrong with this app. Keeps on hanging and forcing app closure. Total mess.,2019-03-24,HEALTH AND FITNESS,2019-03-24_HEALTH_AND_FITNESS_39380,Everyone,has gone wrong with Keeps on and Total mess,9,2019-03-09 00:00:00,2019,3,-5,0
